Baro,Baro,Baro,Baro,Baro,Baro,Baro,Baro,Humidity indoor,Humidity indoor,Humidity indoor,Humidity indoor,Humidity indoor,Humidity indoor,Humidity indoor,Humidity indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature indoor,Temperature outside,Temperature outside,Temperature outside,Temperature outside,Temperature outside,Temperature outside,Temperature outside,Temperature outside,mm,mm,mm,mm,mm,mm,mm,mm
count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
31.0,1015.4225806451614,9.82594218306551,998.1,1005.35,1018.3,1023.2,1030.2,31.0,42.483870967741936,2.7793400624600983,37.0,39.5,43.0,45.0,47.0,31.0,19.56322580645161,0.6400801361120034,18.48,19.225,19.61,19.91,21.08,31.0,4.42483870967742,2.894612087963592,-0.76,2.465,4.04,6.91,9.68,31.0,1.1580645161290324,2.5317680506645135,0.0,0.0,0.0,1.05,9.5
28.0,1005.757142857143,12.848617985098022,980.9,996.875,1009.25,1016.525,1021.7,28.0,43.17857142857143,2.597057757291701,38.0,42.0,43.0,45.0,47.0,28.0,20.252857142857142,0.7796478651614419,18.9,19.73,20.355,20.785,22.07,28.0,6.3125,2.856244134445716,1.3,4.0024999999999995,6.32,8.627500000000001,10.16,28.0,1.1642857142857144,1.7552491193273594,0.0,0.0,0.0,1.35,6.3
30.0,1006.503333333333,11.363355603637183,980.8,1000.6500000000001,1008.75,1014.0500000000001,1025.3,30.0,46.266666666666666,2.303420744552932,43.0,44.0,46.0,47.75,52.0,30.0,21.13233333333333,0.7841432105888847,19.67,20.482499999999998,21.325,21.642500000000002,22.41,30.0,8.982333333333337,2.1921359184725455,6.02,7.040000000000001,8.975,10.4125,14.21,30.0,1.02,1.7392824521266987,0.0,0.0,0.0,1.1,6.3
30.0,1015.3733333333332,7.881665032095751,992.4,1011.7,1015.3499999999999,1020.275,1028.6,30.0,43.7,2.151983848163973,39.0,43.0,44.0,45.0,47.0,30.0,22.097666666666665,0.6147479625596689,20.71,21.84,22.16,22.447499999999998,23.16,30.0,10.305666666666665,1.582596477057687,5.9,9.822500000000002,10.465,11.1125,12.85,30.0,0.24333333333333335,0.7059761319269758,0.0,0.0,0.0,0.0,3.1
30.0,1008.8433333333334,7.924413753290105,988.2,1005.3499999999999,1010.1500000000001,1014.475,1019.7,30.0,45.0,3.258939958816734,40.0,42.0,45.5,47.75,51.0,30.0,23.235999999999994,1.3931794448373267,21.76,22.425,22.71,23.68,26.78,30.0,14.593666666666666,3.0652462165079153,10.53,12.0475,13.885,16.082500000000003,22.02,30.0,1.4066666666666667,3.5567258610377483,0.0,0.0,0.0,1.0,16.9
30.0,1006.0833333333335,7.415179367855594,989.9,1003.675,1007.0,1009.9250000000001,1019.9,30.0,51.53333333333333,1.3578211078487257,50.0,51.0,51.0,52.0,55.0,30.0,24.69733333333333,2.2107151804778926,21.77,23.1825,24.424999999999997,25.67,29.21,30.0,17.601,3.7552623766178277,12.43,14.8775,16.955,18.63,26.38,30.0,1.5066666666666668,3.0858892792318646,0.0,0.0,0.0,1.1,13.7
30.0,1006.99,6.119124909263781,997.7,1000.8749999999999,1008.1,1012.5999999999999,1016.2,30.0,53.03333333333333,1.731718965280638,51.0,52.0,52.0,54.0,57.0,30.0,24.614999999999995,1.5511191732601244,21.9,23.6625,24.57,25.4175,27.61,30.0,18.282666666666664,2.3705883648162747,13.91,16.195,18.22,19.840000000000003,23.09,30.0,3.1633333333333336,5.24683703297279,0.0,0.0,0.0,3.95,19.0
22.0,1009.1136363636365,3.38474103314743,1001.9,1007.05,1009.75,1010.5250000000001,1015.2,22.0,57.0,0.816496580927726,56.0,56.25,57.0,57.0,59.0,22.0,23.48863636363637,1.063383169997422,22.02,22.7775,23.32,23.9625,26.21,22.0,16.65590909090909,1.7722615605381278,13.5,15.325,16.615000000000002,17.91,19.87,22.0,1.7227272727272727,2.90712291387269,0.0,0.0,0.0,2.85,12.6
30.0,1005.8466666666668,7.962400146435378,987.4,1003.425,1007.45,1011.9250000000001,1015.2,30.0,55.166666666666664,1.7632910713489278,52.0,53.25,55.5,57.0,58.0,30.0,22.06633333333333,0.5002101857070264,21.2,21.752499999999998,22.125,22.33,23.26,30.0,14.125000000000004,1.6174261162041714,11.15,12.842500000000001,14.025,15.342500000000001,17.72,30.0,2.3866666666666676,2.7724921359091645,0.0,1.0,1.1,3.1750000000000003,11.6
32.0,1013.328125,7.649846482752281,998.0,1008.9999999999999,1013.95,1019.125,1026.9,32.0,52.71875,2.504632804199244,49.0,51.0,52.5,54.0,59.0,32.0,21.3631640625,0.4095653164330435,20.38,21.1475,21.38,21.6825,22.23125,32.0,11.1547265625,1.9031428731978932,7.9,9.827499999999999,11.035,12.532499999999999,15.21,32.0,0.9250000000000002,2.0147840675143525,0.0,0.0,0.0,1.1,8.4
30.0,1007.3933333333332,13.1178723393942,979.6,1000.925,1009.25,1017.85,1027.1,30.0,48.13333333333333,1.5024883574816204,44.0,47.0,48.0,49.0,52.0,30.0,20.121333333333332,0.8615012291436919,18.11,19.4675,20.105,20.8125,21.7,30.0,6.2233333333333345,2.949071546861105,-1.81,4.7875,6.25,7.515,12.83,30.0,3.0200000000000005,5.7841877205193555,0.0,0.0,0.0,3.95,23.2
29.0,1018.7517241379308,6.703923195181772,1009.2,1015.4,1016.9,1022.5,1035.6,29.0,45.827586206896555,3.0945685773307643,41.0,42.0,47.0,48.0,50.0,29.0,19.738620689655175,1.1847927007887775,18.04,18.83,19.61,20.44,23.57,29.0,6.266206896551723,3.5971441189932714,-1.26,2.95,6.53,8.9,12.44,29.0,0.9413793103448276,3.368818915688331,0.0,0.0,0.0,0.0,17.9
